activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,45776,[],CHEMBL666251,Inhibition of human cytochrome P450 2C19 as S-mephenytoin-4-hydroxylation (100 uM),A,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1N1CCN(C)CC1,,,CHEMBL1132410,J. Med. Chem.,1999.0,,CHEMBL292759,,CHEMBL292759,4.34,0,http://www.openphacts.org/units/Nanomolar,109815,=,1,1,=,,IC50,nM,,46000.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,uM,UO_0000065,,46.0
,62460,[],CHEMBL666251,Inhibition of human cytochrome P450 2C19 as S-mephenytoin-4-hydroxylation (100 uM),A,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCNCC1.Cl,,,CHEMBL1132410,J. Med. Chem.,1999.0,,CHEMBL542139,,CHEMBL431298,4.58,0,http://www.openphacts.org/units/Nanomolar,109818,=,1,1,=,,IC50,nM,,26000.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,uM,UO_0000065,,26.0
,66437,[],CHEMBL660386,Inhibition of Cytochrome P450 2C19,A,,,BAO_0000190,BAO_0000357,single protein format,CC(C)C[C@H](C=O)NC(=O)[C@@H](NS(=O)(=O)c1ccc(F)cc1)C(C)C,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1145779,J. Med. Chem.,2003.0,,CHEMBL168471,,CHEMBL168471,,0,http://www.openphacts.org/units/Nanomolar,335476,=,1,1,=,,IC50,nM,,177000.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,uM,UO_0000065,,177.0
,347544,[],CHEMBL660383,Inhibitory effect on human recombinant liver cytochrome P450 2C19 expressed in yeast strain,A,,,BAO_0000190,BAO_0000019,assay format,NCCCc1ccc(S(=O)(=O)N(CCCO)c2ccnn2-c2ccccc2)cc1,,,CHEMBL1134658,J. Med. Chem.,2001.0,,CHEMBL121241,,CHEMBL121241,4.82,0,http://www.openphacts.org/units/Nanomolar,229517,=,1,1,=,,IC50,nM,,15000.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,uM,UO_0000065,,15.0
,348954,[],CHEMBL660383,Inhibitory effect on human recombinant liver cytochrome P450 2C19 expressed in yeast strain,A,,,BAO_0000190,BAO_0000019,assay format,CC(C)CCN(c1ccnn1-c1ccccc1)S(=O)(=O)c1ccc(N)cc1,,,CHEMBL1134658,J. Med. Chem.,2001.0,,CHEMBL414238,,CHEMBL414238,4.22,0,http://www.openphacts.org/units/Nanomolar,229520,=,1,1,=,,IC50,nM,,60000.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,uM,UO_0000065,,60.0
,348958,[],CHEMBL660383,Inhibitory effect on human recombinant liver cytochrome P450 2C19 expressed in yeast strain,A,,,BAO_0000190,BAO_0000019,assay format,O=[N+]([O-])c1cccc(-c2ccc(S(=O)(=O)N(CCCCO)c3ccnn3-c3ccccc3)cc2)c1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1134658,J. Med. Chem.,2001.0,,CHEMBL121420,,CHEMBL121420,,0,http://www.openphacts.org/units/Nanomolar,229512,>,1,1,>,,IC50,nM,,200000.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,uM,UO_0000065,,200.0
,351623,[],CHEMBL660383,Inhibitory effect on human recombinant liver cytochrome P450 2C19 expressed in yeast strain,A,,,BAO_0000190,BAO_0000019,assay format,Nc1cccc(-c2ccc(S(=O)(=O)Nc3ccnn3-c3ccccc3)cc2)c1,,,CHEMBL1134658,J. Med. Chem.,2001.0,,CHEMBL333108,,CHEMBL333108,4.02,0,http://www.openphacts.org/units/Nanomolar,229499,=,1,1,=,,IC50,nM,,95000.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,uM,UO_0000065,,95.0
,353092,[],CHEMBL660383,Inhibitory effect on human recombinant liver cytochrome P450 2C19 expressed in yeast strain,A,,,BAO_0000190,BAO_0000019,assay format,C=CCc1ccc(S(=O)(=O)N(CCCO)c2ccnn2-c2ccccc2)cc1,,,CHEMBL1134658,J. Med. Chem.,2001.0,,CHEMBL333210,,CHEMBL333210,5.00,0,http://www.openphacts.org/units/Nanomolar,229516,=,1,1,=,,IC50,nM,,10000.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,uM,UO_0000065,,10.0
,360241,[],CHEMBL660383,Inhibitory effect on human recombinant liver cytochrome P450 2C19 expressed in yeast strain,A,,,BAO_0000190,BAO_0000019,assay format,Nc1ccc(S(=O)(=O)N(Cc2ccccc2)c2ccnn2-c2ccccc2)cc1,,,CHEMBL1134658,J. Med. Chem.,2001.0,,CHEMBL120797,,CHEMBL120797,4.35,0,http://www.openphacts.org/units/Nanomolar,229503,=,1,1,=,,IC50,nM,,45000.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,uM,UO_0000065,,45.0
,360245,[],CHEMBL660383,Inhibitory effect on human recombinant liver cytochrome P450 2C19 expressed in yeast strain,A,,,BAO_0000190,BAO_0000019,assay format,O=[N+]([O-])c1cccc(-c2ccc(S(=O)(=O)Nc3ccnn3-c3ccccc3)cc2)c1,,,CHEMBL1134658,J. Med. Chem.,2001.0,,CHEMBL120426,,CHEMBL120426,4.19,0,http://www.openphacts.org/units/Nanomolar,229505,=,1,1,=,,IC50,nM,,65000.0,CHEMBL3622,Homo sapiens,Cytochrome P450 2C19,9606,,,IC50,uM,UO_0000065,,65.0
